      Phi             z    Detector    Traza
---------  ------------  ----------  -------
4.7195      -3.75498              1        1
4.73694     -4.14629              2        1
4.71424     -4.53893              3        1
4.74386     -4.92591              4        1
0.869679     1.23847              1        2
0.888546    -0.00412656           2        2
0.868274    -1.24943              3        2
0.895789    -2.49304              4        2
3.83508     -1.82423              1        3
3.84114     -3.76289              2        3
3.86012     -5.70564              3        3
3.82658     -7.64376              4        3
1.80676      2.08637              1        4
1.8075       4.32792              2        4
1.79973      6.56934              3        4
1.7961       8.81191              4        4
5.87586      3.99988              1        5
5.88561      6.60561              2        5
5.88639      9.21076              3        5
5.89559     11.819                4        5
1.83543     -6.81708              1        6
1.82971     -9.80245              2        6
1.84063    -12.7873               3        6
1.85351    -15.7732               4        6
1.34992     -2.89759              1        7
1.36129     -7.40802              2        7
1.33988    -11.9204               3        7
1.37503    -16.4308               4        7
4.31899     -0.269969             1        8
4.34394     -4.255                2        8
4.32638     -8.24163              3        8
4.34101    -12.2285               4        8
3.78216      2.58327              1        9
3.82928      8.36024              2        9
3.79546     14.1368               3        9
3.8072      19.9128               4        9
4.2876       3.28037              1       10
4.30055      5.72145              2       10
4.31808      8.15894              3       10
4.30865     10.6003               4       10
1.05662     -1.38096              1       11
1.02633     -3.46752              2       11
1.03889     -5.55326              3       11
1.03876     -7.63934              4       11
4.37691     -2.94067              1       12
4.36638     -6.58436              2       12
4.37742    -10.2266               3       12
4.37736    -13.8694               4       12
3.85577      1.42167              1       13
3.84372     -1.08618              2       13
3.86168     -3.59254              3       13
3.8528      -6.10127              4       13
0.532483    -1.6562               1       14
0.541232    -5.27091              2       14
0.545896    -8.88568              3       14
0.558355   -12.5004               4       14
1.43281     -1.6944               1       15
1.44712     -6.69147              2       15
1.43452    -11.6887               3       15
1.44578    -16.6847               4       15
0.611838    -3.36989              1       16
0.611425    -6.61382              2       16
0.629535    -9.85753              3       16
0.618608   -13.0978               4       16
0.817859    -4.24208              1       17
0.802103    -5.73966              2       17
0.812721    -7.23741              3       17
0.812275    -8.73783              4       17
6.2332      -3.20904              1       18
6.23955     -5.05153              2       18
6.23868     -6.89856              3       18
6.2466      -8.74516              4       18
3.78513     -4.86766              1       19
3.77592     -9.81265              2       19
3.79275    -14.7529               3       19
3.78544    -19.6954               4       19
5.33934     -0.484461             1       20
5.34393     -0.656291             2       20
5.33422     -0.826344             3       20
5.32431     -0.995483             4       20
4.16166      0.55986              1       21
4.16998      2.26543              2       21
4.16409      3.96844              3       21
4.14777      5.67164              4       21
4.92826      2.13604              1       22
4.91964      2.58738              2       22
4.93382      3.03788              3       22
4.93089      3.48836              4       22
1.22416      5.65942              1       23
1.23134      7.57062              2       23
1.22081      9.48425              3       23
1.21485     11.394                4       23
3.40858      7.91391              1       24
3.41133     17.512                2       24
3.40526     27.1073               3       24
3.39638     36.7078               4       24
0.718449     0.466369             1       25
0.71757      3.59503              2       25
0.718426     6.72787              3       25
0.728755     9.85762              4       25
5.60331     -1.01616              1       26
5.58874     -3.45218              2       26
5.61337     -5.89352              3       26
5.59645     -8.3293               4       26
5.3709      -4.05638              1       27
5.35958     -7.55543              2       27
5.35447    -11.0558               3       27
5.3407     -14.5557               4       27
4.17732      1.69346              1       28
4.16926      2.82446              2       28
4.1804       3.95626              3       28
4.16085      5.0875               4       28
5.5164      -2.54311              1       29
5.53024     -1.99733              2       29
5.52836     -1.44636              3       29
5.52349     -0.903673             4       29
4.39783      4.29738              1       30
4.4117       8.97163              2       30
4.41725     13.6488               3       30
4.42554     18.3195               4       30
4.77215     -4.6281               1       31
4.77179     -6.36263              2       31
4.78235     -8.09382              3       31
4.78418     -9.82862              4       31
5.82922     -3.23958              1       32
5.8278      -6.69225              2       32
5.82807    -10.1405               3       32
5.84193    -13.5911               4       32
3.2523       1.37431              1       33
3.26293      1.8475               2       33
3.27144      2.32608              3       33
3.25433      2.8022               4       33
5.44433     -1.16739              1       34
5.432       -2.62476              2       34
5.47253     -4.07666              3       34
5.4481      -5.52933              4       34
2.85988      0.550125             1       35
2.88196      2.59677              2       35
